trial_index,trial_image1_file,trial_image2_file,image_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_rating.started,estimation_exp1.png,estimation_rating.response,estimation_rating.rt,estimation_rating.history,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,end_experiment.keys,end_experiment.rt,end_experiment.duration,participant,date,expName,psychopyVersion,frameRate,ver,
0,exp1.png,exp2.png,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,0,1,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.8070138025585998,0,valid_lose,7.72803279999971,0,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
1,exp3.png,exp4.png,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,1,2,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.13473867020270747,0,invalid_lose,14.642510399999992,0,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
2,exp1.png,exp2.png,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,2,3,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.44106348844034293,0,valid_lose,22.08975499999997,0,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
3,exp3.png,exp4.png,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,3,4,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.7862234166875869,1,valid_win,32.26992160000009,1,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
4,exp1.png,exp2.png,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,4,5,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.24167466449897845,1,invalid_win,37.68528789999982,2,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
5,exp3.png,exp4.png,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,5,6,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.9235701392894472,1,valid_win,47.0156221999996,3,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
6,exp1.png,exp2.png,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,6,7,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.7367073822099609,1,valid_win,54.71245649999946,4,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
7,exp3.png,exp4.png,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,7,8,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.05929699370904373,0,invalid_lose,59.9439339999999,4,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
8,exp1.png,exp2.png,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,8,9,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,3,exp2.png,exp1.png,0,4,reversed,incorrect,0.6030947571751925,0,valid_lose,64.52556350000032,4,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
9,exp3.png,exp4.png,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,9,10,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.40544378603852693,1,valid_win,79.43730799999958,5,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
10,exp1.png,exp2.png,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,10,11,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.7949099895463717,1,valid_win,94.18205859999944,6,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
11,exp3.png,exp4.png,,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.34335346340113493,0,valid_lose,100.77971220000018,6,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
12,exp1.png,exp2.png,,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.25267766101969313,1,valid_win,106.14502389999961,7,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
13,exp3.png,exp4.png,,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.8411789999407431,0,valid_lose,110.4933659999997,7,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
14,exp1.png,exp2.png,,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.9870947503803735,1,valid_win,124.52221379999992,8,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
15,exp3.png,exp4.png,,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.008104723501943023,0,invalid_lose,129.35407099999975,8,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
16,exp1.png,exp2.png,,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,16,17,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.014468157267859327,0,invalid_lose,133.9858105000003,8,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
17,exp3.png,exp4.png,,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,17,18,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.9889480771024979,0,valid_lose,138.9172405999998,8,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
18,exp1.png,exp2.png,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,18,19,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.9739478531879638,1,valid_win,143.48240749999968,9,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
19,exp3.png,exp4.png,,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,19,20,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,3,exp4.png,exp3.png,0,2,non-reversed,incorrect,0.011867017983604233,1,invalid_win,148.34725830000025,10,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
20,exp1.png,exp2.png,,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
,,,exp1.png,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.61763340000016,1.0,1.0,13.577276199999687,"[(1.0, 13.577276199999687)]",,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
,,,exp2.png,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.87700959999984,,None,None,[],,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
,,,exp3.png,0,0,0,0,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.6234483999997,,80.0,2.9919996000007814,"[(80.0, 2.9919996000007814)]",80.0,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
,,,exp4.png,0,0,0,0,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.50330589999976,,73.0,1.6953965999991851,"[(73.0, 1.6953965999991851)]",,73.0,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
0,exp1.png,exp2.png,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,20,21,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.24616636578348416,0,invalid_lose,186.08459029999995,10,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
1,exp3.png,exp4.png,,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,21,22,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.9869580925245134,1,valid_win,205.04482629999984,11,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
2,exp1.png,exp2.png,,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,22,23,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.5569587356867002,1,valid_win,211.3265438999997,12,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
3,exp3.png,exp4.png,,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,23,24,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.5553641888858586,1,valid_win,216.80744529999993,13,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
4,exp1.png,exp2.png,,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,24,25,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,3,exp2.png,exp1.png,1,3,reversed,correct,0.7977479441811423,1,valid_win,222.82224880000012,14,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
5,exp3.png,exp4.png,,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,25,26,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,3,exp4.png,exp3.png,1,1,non-reversed,correct,0.5355638752644464,1,valid_win,228.66985120000027,15,,,,,,,,,,,,,,,,,sub_207,2025-03-02_11h24.30.123,Reversal,2023.1.3,60.14874785346953,3,
