trial_index,trial_image1_file,trial_image2_file,learning_outer_loop.thisRepN,learning_outer_loop.thisTrialN,learning_outer_loop.thisN,learning_outer_loop.thisIndex,learning_inner_loop.thisRepN,learning_inner_loop.thisTrialN,learning_inner_loop.thisN,learning_inner_loop.thisIndex,learning_estimation_outer_loop.thisRepN,learning_estimation_outer_loop.thisTrialN,learning_estimation_outer_loop.thisN,learning_estimation_outer_loop.thisIndex,learning_estimation_inner_loop.thisRepN,learning_estimation_inner_loop.thisTrialN,learning_estimation_inner_loop.thisN,learning_estimation_inner_loop.thisIndex,reversal_outer_loop.thisRepN,reversal_outer_loop.thisTrialN,reversal_outer_loop.thisN,reversal_outer_loop.thisIndex,reversal_inner_loop.thisRepN,reversal_inner_loop.thisTrialN,reversal_inner_loop.thisN,reversal_inner_loop.thisIndex,reversal_estimation_outer_loop.thisRepN,reversal_estimation_outer_loop.thisTrialN,reversal_estimation_outer_loop.thisN,reversal_estimation_outer_loop.thisIndex,reversal_estimation_inner_loop.thisRepN,reversal_estimation_inner_loop.thisTrialN,reversal_estimation_inner_loop.thisN,reversal_estimation_inner_loop.thisIndex,skipped,total_trial_counter,trial_num,left_right_flip,left_image_file,right_image_file,clicked_stimulus_side,side,clicked_stimulus,version,high_prob_image_file,low_prob_image_file,choice_a,choice_b,pair_type,correct,trial_feedback_random,reward,trial_type,overall_time_after_trial,score,estimation_exp1.png,estimation_exp2.png,estimation_exp3.png,estimation_exp4.png,total_learning_time,total_correct,learning_correct,reversal_correct,total_reversal_time,extra_block,end_experiment.keys,end_experiment.rt,participant,ver,date,expName,psychopyVersion,frameRate,
0,exp1.png,exp2.png,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
1,exp3.png,exp4.png,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,0,1,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.9903124419096662,0,valid_lose,6.193876099772751,0,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
2,exp1.png,exp2.png,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,1,2,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.9779281518385198,1,valid_win,13.290956600569189,1,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
3,exp3.png,exp4.png,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,2,3,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.5750944820979378,1,valid_win,18.75602009985596,2,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
4,exp1.png,exp2.png,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,3,4,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.6655571528694681,1,valid_win,24.054581999778748,3,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
5,exp3.png,exp4.png,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,4,5,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.49374706760172227,1,valid_win,29.585214000195265,4,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
6,exp1.png,exp2.png,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,5,6,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.3124235694593359,1,valid_win,34.70044710021466,5,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
7,exp3.png,exp4.png,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,6,7,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.592045271199935,1,valid_win,40.08143060002476,6,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
8,exp1.png,exp2.png,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,7,8,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.6041189284558285,1,valid_win,44.730532200075686,7,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
9,exp3.png,exp4.png,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,8,9,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.7224490767609204,1,valid_win,49.578456699848175,8,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
10,exp1.png,exp2.png,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,9,10,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.5331333778149816,1,valid_win,54.36047890037298,9,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
11,exp3.png,exp4.png,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,10,11,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.029443549472706776,0,invalid_lose,58.97650180011988,9,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
12,exp1.png,exp2.png,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,11,12,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.9033086292158314,0,valid_lose,63.75740250013769,9,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
13,exp3.png,exp4.png,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,12,13,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.3949650452647452,1,valid_win,69.40486409980804,10,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
14,exp1.png,exp2.png,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,13,14,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.4412412313530951,1,valid_win,74.37054270040244,11,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
15,exp3.png,exp4.png,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,14,15,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.8536032041557619,1,valid_win,79.21829649992287,12,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
16,exp1.png,exp2.png,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,15,16,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.24831731096595744,0,invalid_lose,84.8500498002395,12,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
17,exp3.png,exp4.png,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,16,17,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.42406083168419606,1,valid_win,92.18181630037725,13,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
18,exp1.png,exp2.png,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,17,18,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.660171723980215,1,valid_win,98.44573590066284,14,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
19,exp3.png,exp4.png,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,18,19,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.9162566679458678,1,valid_win,103.94408710021526,15,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
20,exp1.png,exp2.png,0,0,0,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,False,19,20,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.32109982360916767,1,valid_win,108.64185510016978,16,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,17,83,0,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
0,exp1.png,exp2.png,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
1,exp3.png,exp4.png,1,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,20,21,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.8614734116836861,1,valid_win,154.6597480000928,17,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
2,exp1.png,exp2.png,1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,21,22,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.19313735569660917,0,invalid_lose,159.45846560038626,17,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
3,exp3.png,exp4.png,1,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,22,23,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.5061076547236726,1,valid_win,164.0734561998397,18,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
4,exp1.png,exp2.png,1,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,23,24,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.365013901889351,1,valid_win,168.95563900005072,19,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
5,exp3.png,exp4.png,1,0,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,24,25,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.03500732768368353,0,invalid_lose,173.70353520009667,19,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
6,exp1.png,exp2.png,1,0,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,25,26,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.02994496789058776,0,invalid_lose,178.61863979976624,19,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
7,exp3.png,exp4.png,1,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,26,27,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.009107567986901377,0,invalid_lose,183.33373480010778,19,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
8,exp1.png,exp2.png,1,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,27,28,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.5785497488727483,0,valid_lose,187.99841220024973,19,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
9,exp3.png,exp4.png,1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,28,29,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.4500693787277492,1,valid_win,192.66384510044008,20,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
10,exp1.png,exp2.png,1,0,1,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,29,30,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.40605357074128934,1,valid_win,197.39559520035982,21,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
11,exp3.png,exp4.png,1,0,1,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,30,31,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.10715145748792143,0,invalid_lose,202.6604725997895,21,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
12,exp1.png,exp2.png,1,0,1,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,31,32,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.06609211637351053,1,invalid_win,207.59223739989102,22,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
13,exp3.png,exp4.png,1,0,1,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,32,33,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.7405539274269658,0,valid_lose,212.52340470068157,22,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
14,exp1.png,exp2.png,1,0,1,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,33,34,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.7637615422099031,1,valid_win,217.28898170031607,23,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
15,exp3.png,exp4.png,1,0,1,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,34,35,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.7089288585700678,1,valid_win,222.18748520035297,24,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
16,exp1.png,exp2.png,1,0,1,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,35,36,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.1274110963261238,0,invalid_lose,226.95232150051743,24,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
17,exp3.png,exp4.png,1,0,1,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,36,37,True,exp4.png,exp3.png,trial_left_image,1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.7729395450396205,0,valid_lose,231.66712949983776,24,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
18,exp1.png,exp2.png,1,0,1,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,37,38,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.31799164867755847,1,valid_win,236.24915600009263,25,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
19,exp3.png,exp4.png,1,0,1,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,38,39,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.09273414757195209,0,invalid_lose,241.74700270034373,25,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
20,exp1.png,exp2.png,1,0,1,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,False,39,40,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.8165632427805636,1,valid_win,246.59591230005026,26,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,22,79,22,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
0,exp1.png,exp2.png,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
1,exp3.png,exp4.png,2,0,2,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,40,41,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.2390196026918241,0,invalid_lose,270.0377115998417,26,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
2,exp1.png,exp2.png,2,0,2,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,41,42,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.4460525696481489,0,valid_lose,274.5690155001357,26,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
3,exp3.png,exp4.png,2,0,2,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,42,43,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.24598493812750521,0,invalid_lose,278.93506619986147,26,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
4,exp1.png,exp2.png,2,0,2,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,43,44,False,exp1.png,exp2.png,trial_right_image,-1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.4812717196357632,0,valid_lose,283.5161858005449,26,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
5,exp3.png,exp4.png,2,0,2,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,False,44,45,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.6110424040605217,1,valid_win,288.18175270035863,27,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
6,exp1.png,exp2.png,2,0,2,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,False,45,46,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.9220068629194322,1,valid_win,292.6804902004078,28,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
7,exp3.png,exp4.png,2,0,2,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,False,46,47,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.7244523614767155,1,valid_win,297.31213709991425,29,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
8,exp1.png,exp2.png,2,0,2,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,False,47,48,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.5619814870488371,1,valid_win,302.1769388001412,30,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
9,exp3.png,exp4.png,2,0,2,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,False,48,49,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.4440775909585464,1,valid_win,307.0924946004525,31,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
10,exp1.png,exp2.png,2,0,2,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,False,49,50,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.9336076407158711,1,valid_win,311.7402344997972,32,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
11,exp3.png,exp4.png,2,0,2,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,False,50,51,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.5332998154383736,1,valid_win,316.30556940007955,33,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
12,exp1.png,exp2.png,2,0,2,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,False,51,52,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.7206041554535384,1,valid_win,321.5698440000415,34,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
13,exp3.png,exp4.png,2,0,2,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,False,52,53,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.3481164863977201,1,valid_win,326.3857192005962,35,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
14,exp1.png,exp2.png,2,0,2,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,False,53,54,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.42866595473961533,1,valid_win,331.2170008001849,36,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
15,exp3.png,exp4.png,2,0,2,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,False,54,55,False,exp3.png,exp4.png,trial_left_image,1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.5514263492102124,1,valid_win,335.5483988998458,37,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
16,exp1.png,exp2.png,2,0,2,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,False,55,56,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.1263069702734515,0,invalid_lose,339.76394870039076,37,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
17,exp3.png,exp4.png,2,0,2,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,False,56,57,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.5859589415398642,1,valid_win,344.92896260041744,38,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
18,exp1.png,exp2.png,2,0,2,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,False,57,58,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.634074037530883,0,valid_lose,350.62672680057585,38,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
19,exp3.png,exp4.png,2,0,2,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,False,58,59,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.20739476434002768,0,invalid_lose,355.04255270026624,38,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
20,exp1.png,exp2.png,2,0,2,0,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,False,59,60,True,exp2.png,exp1.png,trial_left_image,1,exp2.png,1,exp1.png,exp2.png,0,4,reversed,incorrect,0.6080750704209811,0,valid_lose,359.857107100077,38,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
,,,2,0,2,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,18,90,22,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
0,exp1.png,exp2.png,3,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
1,exp3.png,exp4.png,3,0,3,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,False,60,61,True,exp4.png,exp3.png,trial_right_image,-1,exp3.png,1,exp3.png,exp4.png,1,1,non-reversed,correct,0.8862632629416587,1,valid_win,385.0659853005782,39,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
2,exp1.png,exp2.png,3,0,3,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,False,61,62,False,exp1.png,exp2.png,trial_left_image,1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.004954564771840642,0,invalid_lose,389.8972896002233,39,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
3,exp3.png,exp4.png,3,0,3,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,False,62,63,False,exp3.png,exp4.png,trial_right_image,-1,exp4.png,1,exp3.png,exp4.png,0,2,non-reversed,incorrect,0.8981881641555071,0,valid_lose,395.178967599757,39,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
4,exp1.png,exp2.png,3,0,3,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,False,63,64,True,exp2.png,exp1.png,trial_right_image,-1,exp1.png,1,exp1.png,exp2.png,1,3,reversed,correct,0.3148699694328554,1,valid_win,399.9436547998339,40,,,,,,,,,,,,,s_085,1,2022_Jun_09_1049,Reversal,3.2.4,59.959515473615205,
