participant,image_file,estimation_response,block
sub_736,exp1.png,100.0,6
sub_736,exp2.png,100.0,6
sub_736,exp4.png,100.0,7
sub_736,exp1.png,1.0,12
sub_736,exp2.png,100.0,12
sub_736,exp3.png,1.0,13
sub_736,exp4.png,100.0,13
sub_736,exp1.png,100.0,18
sub_736,exp3.png,1.0,19
sub_736,exp1.png,1.0,25
sub_736,exp2.png,100.0,25
sub_736,exp3.png,100.0,25
sub_736,exp4.png,100.0,25
sub_736,exp1.png,100.0,31
sub_736,exp2.png,3.0,31
sub_736,exp3.png,100.0,31
sub_736,exp4.png,2.0,32
sub_736,exp1.png,100.0,37
sub_736,exp2.png,1.0,37
sub_736,exp3.png,100.0,38
sub_736,exp4.png,1.0,38
